corona_filter;others_infected;corona_income_1;gender;leftright;country;news_avoid_c;intentional_news_c;misinfo_c;disinfo_c;education_new;age4;dummy_dismis;compliance
3;2;0;1;6;1;1;5;5;4,5;2;52;0;6,57142877578735
3;2;0;2;6;1;5;5;2,5;4;1;19;1;6,2857141494751
3;2;28;1;7;1;2;6;3;2,5;3;26;0;5,42857122421265
3;2;0;2;8;1;1;7;6,5;4,5;3;52;0;6,42857122421265
3;2;19;1;5;1;1;4;4,5;5,5;2;60;1;5,14285707473755
2;2;42;1;6;1;3;5;6,5;5,5;3;54;0;6,42857122421265
2;2;34;2;6;1;4;4;3,5;3,5;2;37; ;3,28571438789368
3;2;100;2;8;1;2;6;6,5;6,5;3;54; ;6
3;2;27;1;7;1;2;5;5,5;3,5;1;20;0;5,85714292526245
3;2;10;2;6;1;7;7;7;7;3;33; ;6
3;2;25;1;4;1;2;6;5,5;4;3;58;0;7
3;2;100;1;10;1;1;7;7;4,5;3;48;0;6,42857122421265
3;1;0;1;11;1;1;1;3;3;2;65; ;7
3;1;100;1;7;1;1;6;6;4,5;2;52;0;6,7142858505249
3;2;0;1;3;1;4;2;3;3;3;22; ;5,85714292526245
3;2;0;2;8;1;5;3;5,5;4,5;2;46;0;6,42857122421265
3;1;0;1;9;1;1;7;5;3,5;2;33;0;7
3;1;0;2;4;1;1;6;6;4;3;62;0;6,57142877578735
2;2;0;2;4;1;4;4;5;5;2;20; ;4,14285707473755
3;2;19;2;6;1;2;5;4;4,5;2;38;1;5,7142858505249
3;2;19;2;8;1;4;3;5;4,5;3;1967;0;5,85714292526245
2;1;1;1;3;1;2;5;3,5;2;3;54;0;7
3;2;42;1;3;1;4;5;3;3,5;3;28;1;4,2857141494751
3;2;5;1;8;1;4;4;3;3;2;44; ;3
2;1;16;2;8;1;1;5;5,5;4;3;21;0;5,7142858505249
3;2;0;1;9;1;7;3;7;7;3;56; ;5
2;2;14;1;2;1;1;7;7;5,5;3;50;0;5,2857141494751
3;2;0;2;5;1;2;6;4,5;5;3;60;1;6,14285707473755
3;2;0;2;6;1;1;6;5;4;3;60;0;6,42857122421265
3;1;0;2;1;1;1;7;6;4,5;2;63;0;7
3;1;0;1;7;1;2;6;5,5;4;2;27;0;5,57142877578735
3;2;30;2;3;1;4;4;4;4,5;2;60;1;4,14285707473755
3;2;10;1;8;1;2;5;6,5;5;3;24;0;5,14285707473755
2;2;100;1;11;1;1;7;3,5;4,5;3;33;1;7
